I saw a dog. | 我看见一只狗。
What's the distance from here? | 离这儿多远?
Fair distribution of food. | 公平分配食物。
The division of labor is clear. | 分工明确。
I have no doubt about it. | 我对此毫不怀疑。
Get me a cold drink. | 给我拿杯冷饮。
Driving in snow is hard. | 雪天开车很难。
Wipe the dust off the shelf. | 把架子上的灰擦掉。
Plant the seed in the earth. | 把种子种到土里。
Stay back from the edge. | 离边缘远点。
Education changes lives. | 教育改变命运。
The medicine had no effect. | 药没什么效果。
At the end of the road. | 在路的尽头。
There's an error in your math. | 你算错了。
It was a big event. | 那是一件大事。
Give me an example. | 给我举个例子。
An exchange of gifts. | 礼物交换。
The existence of life on Mars? | 火星上有生命存在吗?
Business expansion is slow. | 业务扩张很慢。
She has years of experience. | 她有多年的经验。
Ask the expert. | 问专家。
It's a known fact. | 这是个众所周知的事实。
He had a bad fall. | 他摔得很重。
Family comes first. | 家人优先。
My father is a teacher. | 我父亲是老师。
He has a fear of heights. | 他怕高。
I have a strange feeling. | 我有种奇怪的感觉。
She reads fiction every day. | 她每天读小说。
The field is full of flowers. | 田里开满了花。
They had a big fight. | 他们大吵了一架。
Light a fire to keep warm. | 生火取暖。
The candle flame is small. | 蜡烛的火焰很小。
The flight to Paris is long. | 飞往巴黎的航班很长。
Roses are my favorite flower. | 玫瑰是我最爱的花。
There's a fold in the paper. | 纸上有道折痕。
Food is on the table. | 食物在桌上。
Use force to open it. | 用力把它打开。
Water takes the form of its bottle. | 水会变成瓶子的形状。
He's my best friend. | 他是我最好的朋友。
Sit in the front. | 坐到前面。
Apples are my favorite fruit. | 苹果是我最爱的水果。
Pour water in the glass. | 把水倒进杯子。
The ring is pure gold. | 戒指是纯金的。
The government passed a law. | 政府通过了一项法律。
A grain of rice. | 一粒米。
The grass is green. | 草是绿的。
Keep a tight grip. | 抓紧。
A group of friends came. | 一群朋友来了。
The growth of plants is slow. | 植物生长很慢。
The guide showed us the way. | 向导给我们带路。
Ships rest in the harbor. | 船停在港口里。
They live in harmony. | 他们和谐相处。
His hate for lies is well known. | 他对谎言的憎恨众所周知。
Her hearing is sharp. | 她听觉敏锐。
The heat of summer is strong. | 夏天很热。
I need your help. | 我需要你的帮助。
She studies Chinese history. | 她研究中国历史。
There's a hole in my sock. | 我袜子有个洞。
Hope makes life bearable. | 希望让生活变得可以忍受。
Wait one hour. | 等一个小时。
He has a great sense of humor. | 他很有幽默感。
Put ice in my drink. | 我饮料里加点冰。
That's a good idea. | 这主意不错。
On impulse, she bought it. | 她一时冲动买了它。
There's an increase in sales. | 销量有所增加。
The car industry is huge. | 汽车工业规模很大。
The pen has black ink. | 笔里是黑墨水。
A bee is an insect. | 蜜蜂是昆虫。
The piano is her instrument. | 钢琴是她的乐器。
Car insurance is required. | 汽车保险是必需的。
She has interest in art. | 她对艺术有兴趣。
The phone was a great invention. | 电话是伟大的发明。
The gate is made of iron. | 大门是铁做的。
Spread jelly on toast. | 在土司上抹果酱。
The join is smooth. | 接缝平滑。
It's a long journey. | 这是一段漫长的旅程。
The judge made his ruling. | 法官做出了裁决。
That was a high jump. | 那一跳跳得高。
Give the ball a kick. | 踢一下球。
She gave him a kiss. | 她吻了他。
Knowledge is power. | 知识就是力量。
They own a lot of land. | 他们有很多土地。
English is a world language. | 英语是世界语言。
She gave a hearty laugh. | 她爽朗地笑了。
It's against the law. | 这违法。
Pencils contain lead. | 铅笔里有铅芯。
Learning never ends. | 学无止境。
The bag is leather. | 这包是皮的。
Write me a letter. | 给我写封信。
His skill is at a high level. | 他技术水平很高。
Take the lift to the top. | 坐电梯上顶楼。
Turn on the light. | 开灯。
There's a speed limit here. | 这里有速度限制。
Linen sheets feel cool. | 亚麻床单很凉爽。
Water is a liquid. | 水是液体。
Make a shopping list. | 列个购物清单。
Have a look at this. | 看看这个。
His death was a great loss. | 他的去世是巨大的损失。
Love is everything. | 爱是一切。
The washing machine is loud. | 洗衣机声音很大。
He's a good man. | 他是个好人。
Ask the manager. | 问经理。
Make a mark here. | 在这做个记号。
I go to the market weekly. | 我每周去市场。
A mass of people gathered. | 一大群人聚集。
Dinner is the main meal. | 晚餐是主餐。
Take measures to fix it. | 采取措施去解决。
I don't eat meat. | 我不吃肉。
The meeting starts at ten. | 会议十点开始。
She has a good memory. | 她记性好。
Steel is a strong metal. | 钢是坚固的金属。
Stand in the middle. | 站到中间。
Drink your milk. | 把牛奶喝了。
Keep an open mind. | 保持开放的心态。
They work in a gold mine. | 他们在金矿工作。
Wait a minute. | 等一分钟。
Morning mist covered the fields. | 晨雾笼罩田野。
Money can't buy time. | 金钱买不到时间。
This month is busy. | 这个月很忙。
Good morning! | 早上好!
My mother cooks well. | 我妈妈做饭很好吃。
The motion was smooth. | 动作很流畅。
The mountain is snowy. | 山上有雪。
That was a smart move. | 这一步走得聪明。
I love jazz music. | 我爱爵士乐。
What's your name? | 你叫什么名字?
The nation celebrated. | 全国都在庆祝。
His needs are simple. | 他的需求很简单。
Have you heard the news? | 你听说那消息了吗?
The stars shine at night. | 星星在夜里闪亮。
What's that noise? | 那是什么声音?
Leave a note for me. | 给我留张条。
My number is 555. | 我的号码是555。
Make an observation. | 做个观察。
He made me an offer. | 他给了我一个提议。
Add oil to the pan. | 往锅里加油。
The operation was successful. | 手术很成功。
In my opinion, it's good. | 依我看,这挺好。
Put things in order. | 把东西整理好。
She joined a new organization. | 她加入了一个新组织。
The room has many ornaments. | 房间里有很多装饰品。
Who is the owner of this car? | 这车谁的?
Turn to page 5. | 翻到第5页。
I feel pain in my back. | 我背疼。
Buy red paint for the wall. | 买红漆刷墙。
Write on the paper. | 在纸上写。
This is part of the puzzle. | 这是拼图的一部分。
Use paste to stick this. | 用浆糊把这粘上。
Payment is due Monday. | 周一付款。
They want peace. | 他们渴望和平。
She's a kind person. | 她是个善良的人。
This place is beautiful. | 这地方真美。
Water the plants daily. | 每天给植物浇水。
We watched a great play. | 我们看了一出好戏。
It's my pleasure. | 我的荣幸。
Get to the point. | 说重点。
This plant is poison. | 这植物有毒。
Use shoe polish for shine. | 用鞋油擦亮鞋子。
The porter took our bags. | 搬运工拿走了我们的包。
What's your position here? | 你在这是什么职位?
Use baby powder. | 用婴儿爽身粉。
Knowledge is power. | 知识就是力量。
What's the price? | 价格是多少?
His thumb print is on it. | 上面有他的指纹。
Learning is a slow process. | 学习是个慢过程。
Fresh produce is best. | 新鲜农产品最好。
They made a big profit. | 他们获利丰厚。
This is private property. | 这是私人财产。
He writes clear prose. | 他写的散文清晰。
They held a protest. | 他们举行了抗议。
Give the rope a pull. | 拉一下绳子。
The punishment was light. | 惩罚很轻。
What's the purpose of this? | 这有什么用?
Give the door a push. | 推一下门。
This is high quality. | 这质量很高。
May I ask a question? | 我能问个问题吗?
Rain is falling hard. | 雨下得很大。
The price range is wide. | 价格范围很广。
At this rate, we'll be late. | 照这速度,我们要迟到了。
A ray of sunshine came in. | 一束阳光照进来。
His reaction was quick. | 他反应很快。
Reading is my hobby. | 阅读是我的爱好。
Tell me the reason. | 告诉我原因。
Keep a record of your work. | 记录你的工作。
I have no regret. | 我不后悔。
The relation is clear. | 关系很清楚。
What's your religion? | 你信什么教?
She's our representative. | 她是我们的代表。
I have a request. | 我有个请求。
Show respect to elders. | 尊重长辈。
Take a rest. | 休息一下。
Hard work brings reward. | 努力有回报。
Feel the rhythm of the song. | 感受歌曲的节奏。
Rice is our main food. | 米饭是我们的主食。
The river flows east. | 河水向东流。
The road is long. | 路很长。
Give the ball a roll. | 把球滚一下。
There's no room here. | 这没地方了。
Give it a good rub. | 使劲擦一下。
Follow the rules. | 遵守规则。
Go for a run. | 去跑步吧。
Add salt to the soup. | 汤里加点盐。
The sand is warm. | 沙子很暖。
A small-scale model. | 小比例模型。
She studies science. | 她学科学。
The sea is calm today. | 今天海面平静。
Take a seat. | 请坐。
My secretary will call you. | 我秘书会给你打电话。
Make a good selection. | 做出好的选择。
Be true to your self. | 忠于自我。
It makes sense. | 这说得通。
The servant brought tea. | 仆人端来了茶。
What's the sex of the baby? | 宝宝是男是女?
Sit in the shade. | 坐到阴凉处。
Give the bottle a shake. | 摇一下瓶子。
He felt shame. | 他感到羞愧。
The news was a shock. | 这消息令人震惊。
Stand on this side. | 站到这边来。
It's a good sign. | 这是个好兆头。
She wore a silk scarf. | 她戴着丝巾。
The ring is silver. | 戒指是银的。
My sister is younger. | 我妹妹比我小。
What size do you wear? | 你穿多大码?
The sky is blue. | 天是蓝的。
Get a good sleep. | 好好睡一觉。
Be careful, don't slip. | 小心,别滑倒。
The slope is steep. | 坡很陡。
The cup smash was loud. | 杯子碎得很响。
This flower has a sweet smell. | 这花闻起来很香。
Give me a smile. | 给我笑一个。
Smoke filled the room. | 烟弥漫了屋子。
Cover your sneeze. | 打喷嚏时捂住。
Snow covers the road. | 雪覆盖了路面。
Use soap and water. | 用肥皂和水洗。
Society needs rules. | 社会需要规则。
Their son is six. | 他们的儿子六岁。
Sing me a song. | 给我唱首歌。
What sort of book? | 什么样的书?
I heard a strange sound. | 我听到了奇怪的声音。
Have some hot soup. | 喝点热汤。
There's not enough space. | 空间不够。
She walked on stage. | 她走上舞台。
It's a good start. | 开了个好头。
Make a statement. | 发表声明。
Steam rose from the cup. | 杯子上升起蒸汽。
The blade is steel. | 刀刃是钢的。
Take a small step. | 迈一小步。
A stitch in time saves nine. | 小洞不补,大洞吃苦。
He threw a stone. | 他扔了块石头。
Make a quick stop. | 赶紧停一下。
Tell me a story. | 给我讲个故事。
Give your back a stretch. | 伸展一下背。
The structure is sound. | 结构稳固。
What is this substance? | 这是什么东西?
Add sugar to tea. | 茶里加糖。
That's a good suggestion. | 这建议不错。
Summer is here. | 夏天到了。
Thanks for your support. | 谢谢你的支持。
What a nice surprise! | 真是个惊喜!
Go for a swim. | 去游泳吧。
The system works well. | 系统运转良好。
Let's have a talk. | 我们谈谈吧。
This soup has a strong taste. | 这汤味道很重。
Pay your tax on time. | 按时纳税。
Teaching is her passion. | 教学是她的热情所在。
He has a tendency to be late. | 他有迟到的倾向。
I passed the test. | 我通过了考试。
In theory, it works. | 理论上行得通。
What's that thing? | 那是什么东西?
Penny for your thought. | 你在想什么?
Thunder shook the house. | 雷声震得房子发抖。
Time flies. | 光阴似箭。
A tin of beans. | 一罐豆子。
Reach the top of the hill. | 爬到山顶。
Just a light touch. | 轻轻一碰。
International trade is growing. | 国际贸易在增长。
Public transport is fast. | 公共交通很快。
He played a trick on me. | 他耍了我一下。
He's in trouble. | 他有麻烦了。
It's your turn. | 轮到你了。
Give it a twist. | 扭一下。
One unit is sold. | 卖了一个。
What's the use of this? | 这有什么用?
This has great value. | 这很有价值。
She wrote a verse. | 她写了一段诗。
The vessel sailed at dawn. | 船黎明启航。
The view is amazing. | 景色真美。
She has a soft voice. | 她声音柔和。
Take a walk. | 去散步吧。
War is terrible. | 战争很可怕。
Give the car a wash. | 给车洗个澡。
It's a waste of time. | 这是浪费时间。
Drink more water. | 多喝水。
The waves are high. | 浪很高。
The candle is made of wax. | 蜡烛是蜡做的。
What's the best way? | 哪种方法最好?
The weather is fine. | 天气真好。
See you next week. | 下周见。
What's the weight? | 多重?
The wind is strong. | 风很大。
Red wine is good. | 红酒不错。
Winter is cold here. | 这儿冬天很冷。
She's a kind woman. | 她是个善良的女人。
The chair is wood. | 椅子是木头的。
This sweater is wool. | 这毛衣是羊毛的。
Say the word. | 说一句话。
Good work today. | 今天干得不错。
Clean the wound. | 把伤口洗干净。
Her writing is clear. | 她写得很清楚。
Happy new year. | 新年快乐。
Cut at a right angle. | 直角切。
An ant is on the bread. | 面包上有只蚂蚁。
An apple a day. | 每天一苹果。
Walk through the arch. | 从拱门下走过。
Lift your arm up. | 抬起手臂。
The army marched in. | 军队开进来了。
The baby is sleeping. | 宝宝在睡觉。
My bag is heavy. | 我的包很重。
Throw me the ball. | 把球扔给我。
A band of gold. | 一条金色带子。
Wash hands in the basin. | 在水池洗手。
A basket of apples. | 一篮苹果。
Take a warm bath. | 洗个热水澡。
Go to bed. | 去睡觉。
The bee landed on a flower. | 蜜蜂落在花上。
The bell is ringing. | 铃响了。
Pick wild berries. | 采野果。
A bird flew away. | 鸟飞走了。
The blade is sharp. | 刀刃很锋利。
Walk the board. | 走在木板上。
Take the boat across. | 乘船过去。
The dog has a bone. | 狗有根骨头。
Read this book. | 读这本书。
Pull on your boots. | 穿上靴子。
A bottle of water. | 一瓶水。
Put it in the box. | 放进盒里。
The boy is playing. | 那男孩在玩。
Use your brain. | 动动脑子。
Hit the brake. | 踩刹车。
A branch broke off. | 一根树枝断了。
Build a wall of brick. | 用砖砌墙。
Cross the bridge. | 过桥。
Use a brush for paint. | 用刷子刷漆。
Fill the bucket. | 把桶装满。
Change the bulb. | 换灯泡。
A button came off. | 一颗扣子掉了。
Have a piece of cake. | 吃块蛋糕。
Bring your camera. | 带上相机。
Send me a card. | 给我寄张卡。
A horse-drawn carriage. | 马拉的车。
Push the cart. | 推车。
The cat is sleeping. | 猫在睡觉。
A chain of mountains. | 一条山脉。
Bread and cheese, please. | 请给我面包和奶酪。
A pain in the chest. | 胸口疼。
He has a strong chin. | 他下巴线条很硬。
Go to church on Sunday. | 周日去教堂。
Draw a circle. | 画个圆。
The clock is fast. | 钟快了。
A cloud blocked the sun. | 云挡住了太阳。
Put on your coat. | 穿上外套。
His collar is white. | 他的衣领是白的。
Use a comb. | 用梳子。
Tie it with a cord. | 用绳子绑上。
The cow gives milk. | 母牛产奶。
A cup of tea. | 一杯茶。
Pull the curtain. | 拉上窗帘。
Sit on a cushion. | 坐在垫子上。
The dog barks. | 狗在叫。
Close the door. | 关门。
The drain is blocked. | 下水道堵了。
Open the drawer. | 打开抽屉。
A red dress. | 一条红裙子。
A drop of water. | 一滴水。
My ear hurts. | 我耳朵疼。
Boil two eggs. | 煮两个蛋。
The engine roared. | 引擎轰鸣。
Close your eyes. | 闭上眼睛。
Wash your face. | 洗脸。
Live on a farm. | 住在农场。
As light as a feather. | 轻如鸿毛。
Point with your finger. | 用手指点。
Catch a fish. | 钓条鱼。
The flag flies high. | 旗帜高高飘扬。
Sit on the floor. | 坐在地板上。
There's a fly on the window. | 窗上有只苍蝇。
My foot hurts. | 我脚疼。
Use a fork. | 用叉子。
Raise fowl on the farm. | 农场养家禽。
A picture frame. | 相框。
Work in the garden. | 在花园里干活。
The girl is happy. | 那女孩很开心。
Wear warm gloves. | 戴上保暖手套。
The goat eats grass. | 山羊在吃草。
He put down the gun. | 他放下了枪。
Her hair is long. | 她头发很长。
Use a hammer. | 用锤子。
Give me your hand. | 把手给我。
Wear a sun hat. | 戴顶遮阳帽。
My head hurts. | 我头疼。
My heart beats fast. | 我心跳很快。
Hang it on the hook. | 挂到钩子上。
The bull has horns. | 公牛有角。
Ride the horse. | 骑马。
Take her to hospital. | 送她去医院。
My house is small. | 我家房子小。
The island is small. | 这岛很小。
The ring has a jewel. | 戒指上有颗宝石。
Put the kettle on. | 烧上水。
I lost my key. | 我丢了钥匙。
Bend your knee. | 弯膝盖。
Use a sharp knife. | 用锋利的刀。
Make a strong knot. | 打个结实的结。
The leaf is yellow. | 叶子黄了。
My leg is sore. | 我腿疼。
Borrow from the library. | 从图书馆借。
Draw a straight line. | 画条直线。
Bite your lip. | 咬嘴唇。
Turn the lock. | 转动锁。
Read the map. | 看地图。
Light a match. | 点根火柴。
The monkey climbed up. | 猴子爬上去了。
The moon is bright. | 月亮很亮。
Open your mouth. | 张开嘴。
Build muscle. | 练肌肉。
Hammer the nail. | 锤钉子。
My neck hurts. | 我脖子疼。
Thread the needle. | 穿针引线。
He has nerves of steel. | 他有钢铁般的神经。
Catch fish with a net. | 用网抓鱼。
Blow your nose. | 擤鼻涕。
Crack the nut. | 敲开坚果。
Go to the office. | 去办公室。
Peel the orange. | 剥橙子。
Put it in the oven. | 放进烤箱。
A parcel arrived for you. | 你的包裹到了。
Write with a pen. | 用笔写。
Sharpen the pencil. | 削铅笔。
A beautiful picture. | 一幅美丽的画。
The pig is in the mud. | 猪在泥里。
Pin it to the board. | 把它别在板上。
The pipe is leaking. | 管子漏了。
The plane took off. | 飞机起飞了。
Clean the plate. | 把盘子刷干净。
Drive the plough. | 驾驶犁。
In my pocket. | 在我口袋里。
A pot of tea. | 一壶茶。
Mash the potato. | 把土豆压碎。
He went to prison. | 他进了监狱。
Use the pump. | 用泵。
The train left the rail. | 火车出轨了。
A rat ran by. | 老鼠跑过。
Keep your receipt. | 留好收据。
She wears a gold ring. | 她戴着金戒指。
A fishing rod. | 一根鱼竿。
The roof is red. | 屋顶是红色的。
The tree has deep roots. | 树根扎得深。
Set the sail. | 扬帆。
Go to school. | 去上学。
Use the scissors. | 用剪刀。
Tighten the screw. | 拧紧螺丝。
Plant the seed. | 播下种子。
The sheep graze in the field. | 羊在田里吃草。
Put it on the shelf. | 放架子上。
The ship sailed away. | 轮船开走了。
He wears a white shirt. | 他穿着白衬衫。
Tie your shoe. | 系鞋带。
Her skin is soft. | 她皮肤很滑。
A long skirt. | 一条长裙。
A snake in the grass. | 草里有蛇。
Put on clean socks. | 穿干净袜子。
Dig with a spade. | 用铲挖。
Wipe with a sponge. | 用海绵擦。
Use a spoon for soup. | 喝汤用勺。
The spring is broken. | 弹簧坏了。
Draw a square. | 画个正方形。
Buy a stamp. | 买张邮票。
Stars shine bright. | 星光灿烂。
Meet at the station. | 在车站见。
The flower stem is long. | 花茎很长。
Pick up the stick. | 捡起棍子。
Christmas stocking. | 圣诞袜。
My stomach hurts. | 我肚子疼。
Go to the store. | 去商店。
Walk down the street. | 沿街走。
The sun is bright. | 太阳很刺眼。
Set the table. | 摆桌子。
The dog wagged its tail. | 狗摇尾巴。
Pull the thread. | 拉一下线。
My throat is sore. | 我嗓子疼。
Thumbs up! | 赞一个!
Show your ticket. | 出示票。
Stub your toe. | 碰到脚趾。
Stick out your tongue. | 伸出舌头。
Brush your teeth. | 刷牙。
A small town. | 一个小镇。
Catch the train. | 赶火车。
Bring the tray. | 把托盘端来。
Climb the tree. | 爬树。
Wear black trousers. | 穿黑裤子。
Open the umbrella. | 打开伞。
Hang it on the wall. | 挂在墙上。
My watch is fast. | 我表快了。
The wheel turns. | 轮子在转。
Crack the whip. | 挥鞭子。
Blow the whistle. | 吹哨子。
Open the window. | 开窗。
The bird spread its wings. | 鸟展开翅膀。
Twist the wire. | 拧一下金属丝。
A worm in the apple. | 苹果里有虫。
She is able to swim. | 她会游泳。
Lemons taste acid. | 柠檬尝起来酸。
Don't be angry with me. | 别生我气。
An automatic door. | 自动门。
What a beautiful day! | 多美的一天!
A black cat. | 一只黑猫。
Boiling water hurts. | 沸水会烫伤人。
A bright lamp. | 一盏明亮的灯。
The glass is broken. | 玻璃碎了。
Brown bread is healthier. | 棕色面包更健康。
This is a cheap shop. | 这是家便宜店。
A chemical reaction. | 化学反应。
The chief reason. | 主要原因。
Wash your hands clean. | 把手洗干净。
The water is clear. | 水很清。
A common sight. | 常见的景象。
A complex problem. | 复杂的问题。
He is conscious of his faults. | 他意识到自己的缺点。
Cut flowers wilt fast. | 剪下的花谢得快。
A deep well. | 一口深井。
Children are dependent on parents. | 孩子依赖父母。
An early start. | 早早出发。
An elastic band. | 橡皮筋。
An electric car. | 一辆电动车。
All people are equal. | 人人平等。
A fat cat sat on the mat. | 一只胖猫坐在垫子上。
The land is fertile. | 土地肥沃。
The first time I met you. | 我们第一次见面。
A fixed price. | 固定价格。
A flat surface. | 平面。
Free of charge. | 免费。
He pays frequent visits. | 他经常来访。
The cup is full. | 杯子满了。
A general idea. | 大致的想法。
A good book. | 一本好书。
A great man. | 一位伟人。
Grey clouds bring rain. | 灰云带来雨。
Hanging flowers. | 挂着的花。
A happy child. | 一个快乐的孩子。
A hard rock. | 硬石头。
Eat healthy food. | 吃健康食物。
A high tower. | 一座高塔。
A hollow tree. | 空心树。
An important meeting. | 重要会议。
She is very kind. | 她非常善良。
He's like his father. | 他像他父亲。
All living things need air. | 所有生物都需要空气。
A long road. | 一条长路。
A male doctor. | 男医生。
They are happily married. | 他们婚姻幸福。
Material things matter less. | 物质的东西不那么重要。
Medical care is costly. | 医疗费用高。
Military service is hard. | 军队服役很艰苦。
Natural beauty. | 自然之美。
Sleep is necessary. | 睡眠是必需的。
A new car. | 一辆新车。
Normal body temperature. | 正常体温。
The door is open. | 门开着。
Parallel lines never meet. | 平行线永不相交。
In past years. | 过去几年里。
Physical exercise is good. | 运动有好处。
